priority,source_bq,source_model,product_id,link_code,source_protection,status,next_action,notes
100,BQ002,BQ-002,1601939614689,BQ002-R1,N,PUBLIC_QA_PASS,PROTECT_FULL_GALLERY；D14前不改标题与Grey Khaki整组六图；54张原始图和当前六张1000x1000图已复核；若仍有点击无询盘优先查来源与详情询价承接而非强制换图,approved/Y；16曝光1点击CTR6.25%访问1询盘0；伊拉克访客1；搜索来源1；具体关键词未披露；Wide Toe Box有真实证据；禁止Barefoot Zero Drop Orthopedic Running错意图
101,BQ002,BQ-002,1601939635505,BQ002-O1,N,PUBLIC_QA_PASS,进入7/14/30天来源词CTR访问与询盘监测,approved/Y；灰白M1、标题、六图、三色、EU36-46、33 SKU、型号、Pairs价格、Slip-On与Wide Toe Box公开终验通过；平台标准化词有实时属性支持
102,BQ003,R1218,10000043200726,SOURCE,PROTECT_SOURCE,MONITORING,只读拉取同周期流量并作为三条扩展链接的SKU与流量基线,第35周1搜索曝光0点击0访问；55 SKU五色；工具级硬保护；不得修改标题关键词主图价格详情
103,BQ003,R1218,1601939663432,BQ003-R1,N,PUBLIC_QA_PASS,进入7/14/30天自然搜索来源词点击访问与询盘监测；不再重试关键词API,恢复approved/Y；公开页标题六图5色EU35-45型号Pairs价格Lace-Up与Regular Fit通过
104,BQ003,R1218,1601939585904,BQ003-W1,N,PUBLIC_QA_PASS,进入7/14/28天自然搜索与询盘监测；关键词改走可靠后台链路,粉色真实六图；标题/六图/5色/EU35-45/55SKU/型号/Pairs价格/Lace-Up/Regular Fit买家页通过
105,BQ003,R1218,1601939665367,BQ003-O1,N,PUBLIC_QA_PASS,进入7/14/30天自然搜索来源词点击访问与询盘监测；不再重试关键词API,恢复approved/Y；公开页新标题及无中文全黑实拍M2已传播；六图5色EU35-45型号Pairs价格Lace-Up与Regular Fit通过
106,BQ011,A002,10000043725883,SOURCE,PROTECT_SOURCE,MONITORING,SOURCE_MATERIAL_RISK_READONLY；只读拉取同周期流量并作为扩展链接基线,第35周6搜索曝光0点击1访问；21 SKU三色；源款材料仍显示Cushion但禁止修改；不得修改标题关键词主图价格详情
107,BQ011,A002,1601939634522,BQ011-W1,Y,PUBLIC_QA_PASS,进入D7/D14监测；保持当前真实M1并复盘相关曝光CTR与询盘,材料Other修复已approved/Y并完成API与买家页终验；六图21SKU三色EU39-45及询盘入口正常
108,BQ011,A002,1601939666421,BQ011-R1,Y,PUBLIC_QA_PASS,监测标题改版后的相关曝光、搜索CTR、有效访问与询盘；D7前不再覆盖标题或M1,新标题已公开并删除无证据Cushion Midsole；API及买家页确认Midsole/Outsole均为Other；Grey Green M1、六图、21 SKU、Grey Black/Grey White/Grey Green三色、EU39–45、型号、Pairs价格、Slip-On、Regular Fit及询盘入口通过
109,BQ011,A002,1601939606803,BQ011-O1,Y,PUBLIC_QA_PASS,PROTECT_NEW_TITLE_TO_D7；新标题已公开传播；D7前保持Grey Black M1和当前标题；按相关曝光点击访问询盘复盘,approved/Y；公开标题已把Men's Breathable Textile Slip-On Walking Shoes置于OEM ODM之前；Midsole/Outsole=Other/4；Chrome确认Grey Black M1、六图、三色、EU39-45、型号、Pairs价格、Slip-On、Regular Fit及询盘入口正常；Grey Black禁称All Black
110,BQ014,A507,10000043732626,SOURCE,PROTECT_SOURCE,MONITORING,只读拉取同周期流量并作为三条扩展链接的SKU与流量基线,第35周8曝光0点击0访问；33 SKU三色；已加入四套写入工具硬保护；不得修改标题关键词主图价格详情
111,BQ014,A507,1601939669411,BQ014-W1,Y,PUBLIC_QA_PASS,等待D7并复盘平台标准化词与黑白商品卡；累计相关曝光不足10不重构,第35周2搜索曝光0点击0访问0询盘；黑白真实六图与平台标准化标题已公开；3色、EU35-45、33SKU、型号、价格、Slip-On和Regular Fit终验通过
112,BQ014,A507,1601939658415,BQ014-R1,Y,PUBLIC_QA_PASS,进入7/14/30天同口径曝光点击访问询盘监测,米白真实六图与日常步行标题已公开；逐色确认Black全黑、White米白、Black White黑面白底；EU35-45、33SKU、型号、Pairs价格、Slip-On和Regular Fit终验通过
113,BQ014,A507,1601939608686,BQ014-O1,Y,PUBLIC_QA_PASS,进入7/14/30天同口径曝光点击访问询盘监测,全黑真实六图与OEM ODM标题已公开；逐色确认Black全黑、White米白、Black White黑面白底；EU35-45、33SKU、型号、Pairs价格、Slip-On和Regular Fit终验通过
114,BQ019,A206,10000044041008,SOURCE,PROTECT_RECENT_SOURCE,MONITORING,只读拉取与三条扩展链接同口径流量并作为近期稳定基线,第35周33曝光0点击0访问；2026-09-12完成整页优化；不得修改标题关键词主图价格详情
115,BQ022,A2208,10000043991998,SOURCE,PROTECT_RECENT_SOURCE,MONITORING,只读拉取与三条扩展链接同口径流量并作为近期稳定基线,第35周6曝光0点击0访问；2026-09-12完成整页优化；不得修改标题关键词主图价格详情
116,BQ020,A218,1601839073314,SOURCE,PROTECT_SOURCE,MONITORING,只读拉取与三条扩展链接同口径流量并作为闭合结构事实基线,第35周18曝光1点击CTR5.56%访问1；正向流量锚点；不得复制混合闭合表达或修改标题关键词主图价格详情
117,BQ021,K6212,1601838963947,SOURCE,PROTECT_SOURCE,MONITORING,只读拉取与三条扩展链接同口径流量并作为44SKU事实基线,第35周23曝光1点击CTR4.35%访问1；正向流量锚点；不得修改标题关键词主图价格详情
118,BQ001,BQ001,10000042821848,SOURCE,PROTECT_SOURCE,MONITORING,只读拉取与三条扩展链接同口径流量并作为宽鞋头转化基线,第35周23曝光1点击CTR4.35%访问7；正向宽鞋头流量锚点；不得修改标题关键词主图价格详情
119,BQ023,A505,10000044004948,SOURCE,PROTECT_SOURCE,MONITORING,只读拉取与三条扩展链接同口径流量并作为A505三色Slip-On基线,店内偏好榜显示15访客；已在四套写入工具硬保护；不得修改标题关键词主图价格详情
120,BQ025,A1689,10000044024484,SOURCE,PROTECT_SOURCE,MONITORING,只读拉取与三条扩展链接同口径流量并作为A1689两色基线,店内偏好榜显示17访客；线上仅Black White与All Black共22 SKU；Light Grey来源不符；Black Yellow缺真实图；不得修改标题关键词主图价格详情
